uid,namedLocation,date,eventID,domainID,siteID,plotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,otherTagID,otherTagOrg,samplingProtocolVersion,identificationHistoryID,taxonID,scientificName,genus,family,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"4119fa45-1bb9-47e6-9602-72fd438629b5","BART_012.basePlot.vst","2014-08-05","vst_BART_2014","D01","BART","BART_012",,,,,"NEON.PLA.D01.BART.01866",,,,,"NEON.DOC.000987vE",,"FAGR","Fagus grandifolia Ehrh.","Fagus","Fagaceae","species",,,,,,"llukas@neoninc.org","ramundson@field-ops.org",
"a46b125c-3afa-4f47-b0f8-d40188bb57a6","BART_012.basePlot.vst","2014-08-05","vst_BART_2014","D01","BART","BART_012",,,,,"NEON.PLA.D01.BART.01882",,,,,"NEON.DOC.000987vE",,"FAGR","Fagus grandifolia Ehrh.","Fagus","Fagaceae","species",,,,,,"llukas@neoninc.org","ramundson@field-ops.org",
"2245c5f0-7fff-4791-bd3c-80a28a6af064","BART_012.basePlot.vst","2014-08-05","vst_BART_2014","D01","BART","BART_012",,,,,"NEON.PLA.D01.BART.01874",,,,,"NEON.DOC.000987vE",,"FAGR","Fagus grandifolia Ehrh.","Fagus","Fagaceae","species",,,,,,"llukas@neoninc.org","ramundson@field-ops.org",
"d33d89db-8aa9-4693-af18-426ec56b8817","BART_012.basePlot.vst","2014-08-05","vst_BART_2014","D01","BART","BART_012",,,,,"NEON.PLA.D01.BART.01891",,,,,"NEON.DOC.000987vE",,"FAGR","Fagus grandifolia Ehrh.","Fagus","Fagaceae","species",,,,,,"llukas@neoninc.org","ramundson@field-ops.org",
"0de4fb44-32e4-4895-a2f7-e7a5f513e70a","BART_012.basePlot.vst","2014-08-05","vst_BART_2014","D01","BART","BART_012",,,,,"NEON.PLA.D01.BART.01900",,,,,"NEON.DOC.000987vE",,"FAGR","Fagus grandifolia Ehrh.","Fagus","Fagaceae","species",,,,,,"llukas@neoninc.org","ramundson@field-ops.org",
"e8c57555-b287-467b-89dc-bbfb837c15f0","BART_012.basePlot.vst","2014-08-05","vst_BART_2014","D01","BART","BART_012",,,,,"NEON.PLA.D01.BART.01778",,,,,"NEON.DOC.000987vE",,"FAGR","Fagus grandifolia Ehrh.","Fagus","Fagaceae","species",,,,,,"llukas@neoninc.org","ramundson@field-ops.org",
"f004fbcb-bc7f-453a-970e-cb64ab0f237a","BART_012.basePlot.vst","2014-08-05","vst_BART_2014","D01","BART","BART_012","41",1.9,30.7,,"NEON.PLA.D01.BART.01784",,,,,"NEON.DOC.000987vE",,"FAGR","Fagus grandifolia Ehrh.","Fagus","Fagaceae","species",,,,,,"llukas@neoninc.org","ramundson@field-ops.org",
"945ef59c-c507-4733-a2d5-e3605d18d8c7","BART_012.basePlot.vst","2014-08-05","vst_BART_2014","D01","BART","BART_012",,,,,"NEON.PLA.D01.BART.01962",,,,,"NEON.DOC.000987vE",,"FAGR","Fagus grandifolia Ehrh.","Fagus","Fagaceae","species",,,,,,"llukas@neoninc.org","ramundson@field-ops.org",
"5b9c4424-42bb-46ca-994a-830e30a70307","BART_012.basePlot.vst","2014-08-05","vst_BART_2014","D01","BART","BART_012",,,,,"NEON.PLA.D01.BART.01786",,,,,"NEON.DOC.000987vE",,"FAGR","Fagus grandifolia Ehrh.","Fagus","Fagaceae","species",,,,,,"llukas@neoninc.org","ramundson@field-ops.org",
"9f617cfb-1478-465e-99c6-fad8272bd3b8","BART_012.basePlot.vst","2014-08-05","vst_BART_2014","D01","BART","BART_012",,,,,"NEON.PLA.D01.BART.01898",,,,,"NEON.DOC.000987vE",,"FAGR","Fagus grandifolia Ehrh.","Fagus","Fagaceae","species",,,,,,"llukas@neoninc.org","ramundson@field-ops.org",
"b9f15702-aa99-47f3-959f-150ee4172b0f","BART_012.basePlot.vst","2014-08-05","vst_BART_2014","D01","BART","BART_012",,,,,"NEON.PLA.D01.BART.01884",,,,,"NEON.DOC.000987vE",,"FAGR","Fagus grandifolia Ehrh.","Fagus","Fagaceae","species",,,,,,"llukas@neoninc.org","ramundson@field-ops.org",
