uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"375ebf2e-1529-486b-aff3-33a9b2dad3e4","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","33_25_4","NEON.PLA.D01.BART.08147","1","ok","sapling","Live, disease damaged",,,"damage",0.6,,,,,,"Full shade",,1.2,10,,,,,,,,,,,"Beech bark disease","0000-0003-2369-8379","0009-0009-3680-4899","76e16d3a-3b16-4ec2-947c-7a63ee8cd30c",
"36907658-ac4e-4cd0-a7b4-838d148ddb30","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","39_400","NEON.PLA.D01.BART.03939","1","ok","single bole tree","Live",26.7,130,"noChange",12.2,,,,7.7,5.9,"Mostly shaded",,,,,,,,,,,,,,,"0000-0003-2369-8379","0009-0009-3680-4899","7714691b-36d3-460b-89e6-bbbbe53de5c2",
"5f0a04b6-0d13-47a4-a36f-d47849dd5ac0","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","33_25_4","NEON.PLA.D01.BART.03914","1","ok","sapling","Live, broken bole",,,"noChange",0.9,,,,,,"Full shade",,3.2,10,,,,,,,,,,,"Beech bark disease","0000-0003-2369-8379","0009-0009-3680-4899","e6acb026-c027-456b-9b9d-d958627028a9",
"2d4f19b5-542b-4b33-9ef3-0efd64f29113","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","39_25_1","NEON.PLA.D01.BART.03963","1","ok","small tree","Live, disease damaged",5.6,130,"noChange",9.7,,,,2.8,2.0,"Mostly shaded",,,,,,,,,,,,,,"Beech bark disease","0000-0003-2369-8379","0009-0009-3680-4899","1e9b82d1-c2f5-4692-97d3-ece152300fc6",
"794d1e63-98e8-4cde-b601-626646a73906","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","33_25_4","NEON.PLA.D01.BART.03904","1","ok","small tree","Live, disease damaged",4.3,130,"noChange",6.2,,,,3.7,3.0,"Mostly shaded",,,,,,,,,,,,,,"Beech bark disease","0000-0003-2369-8379","0009-0009-3680-4899","35a4fa84-b0b1-46c4-90dd-e88ea2ee338c",
"b953cf77-5123-416d-b758-98426b23eb9c","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","23_400","NEON.PLA.D01.BART.03665","1","ok","multi-bole tree","Live",41.5,130,"noChange",22.4,,,,12.6,6.8,"Partially shaded",,,,,,,,,,,,,,,"0000-0003-2369-8379","0009-0009-3680-4899","24356c9e-2791-40b8-9385-f693f949e088",
"c5e23423-1853-455c-9f5d-60f62f5a6f5b","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","39_400","NEON.PLA.D01.BART.04636","1","ok","single bole tree","Live",21.9,130,"noChange",12.8,,,,4.4,4.4,"Mostly shaded",,,,,,,,,,,,,,,"0000-0003-2369-8379","0009-0009-3680-4899","6d03f4dc-9a2a-492d-8115-568d0eb40db9",
"f45ba9cb-36a3-47e5-92c6-b34d0dd5a098","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","23_400","NEON.PLA.D01.BART.03902A","2","ok","multi-bole tree","Dead, broken bole",8.2,130,"noChange",,,6.0,3.0,,,,,,,,,,,,,,,,,"Death and break possibly caused by beech bark disease.","0000-0003-2369-8379","0009-0009-3680-4899","99b5871e-636d-4877-9b99-50ad593da148",
"9ed44759-7b81-48dc-a0f6-96275f3c8e32","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","33_25_4","NEON.PLA.D01.BART.04627","1","ok","small tree","Live, disease damaged",9.7,130,"noChange",12.5,,,,6.5,5.7,"Mostly shaded",,,,,,,,,,,,,,"Beech bark disease","0000-0003-2369-8379","0009-0009-3680-4899","169d4e1d-9b78-4754-ae54-ad2642ed2e8c",
"d6660bdc-1979-4764-bf3d-2de0b6fa67af","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","39_25_1","NEON.PLA.D01.BART.04763","1","ok","small tree","Live, disease damaged",1.6,130,"noChange",2.9,,,,2.2,1.2,"Full shade",,,,,,,,,,,,,,"Beech bark disease","0000-0003-2369-8379","0009-0009-3680-4899","e07d6f45-2f1d-46a1-9308-7b083b641e1f",
"3652f45f-d1f9-4369-80b2-b75ab1a0e606","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","39_400","NEON.PLA.D01.BART.03928","1","ok","single bole tree","Live, disease damaged",15.5,130,"noChange",13.7,,,,5.4,4.9,"Mostly shaded",,,,,,,,,,,,,,"Beech bark disease","0000-0003-2369-8379","0009-0009-3680-4899","18513fd1-c5f9-4724-a38d-5f25ceac0181",
"a0c51986-496e-42e0-ab16-f5f7fd223690","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","23_400","NEON.PLA.D01.BART.03671","1","ok","single bole tree","Live",23.8,130,"noChange",18.6,,,,8.9,6.0,"Partially shaded",,,,,,,,,,,,,,,"0000-0003-2369-8379","0009-0009-3680-4899","59405815-cc1d-4be4-9997-a01eea6e7dc1",
"8cc09c52-d50a-4e84-8571-bd3f7e3ff18b","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","23_400","NEON.PLA.D01.BART.03690","1","ok",,"No longer qualifies",,,"noChange",,,,,,,,,,,,,,,,,,,,,"DBH less than 10","0000-0003-2369-8379","0009-0009-3680-4899","7f6a8f16-469d-47ea-8ef4-43f06c378016",
"6b6ebfbf-2d50-406d-bea0-3a79ebe4eaba","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","39_400","NEON.PLA.D01.BART.03918","1","ok","multi-bole tree","Live",28.1,130,"noChange",20.0,,,,6.8,4.3,"Mostly shaded",,,,,,,,,,,,,,,"0000-0003-2369-8379","0009-0009-3680-4899","c7e86ab9-5a64-40d4-988b-4330ccff24c4",
"13baf9f1-5f33-4ea5-9d24-f8872a00dc19","BART_073.basePlot.vst","2023-10-18","vst_BART_2023","D01","BART","BART_073","39_400","NEON.PLA.D01.BART.03929","1","ok","single bole tree","Live",14.2,130,"noChange",15.4,,,,6.3,5.9,"Partially shaded",,,,,,,,,,,,,,,"0000-0003-2369-8379","0009-0009-3680-4899","43b1f300-59a1-479e-b92a-bf6289810d08",
