uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"3c58adef-de9c-454c-8040-1f49b317ffe6","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","23_400","NEON.PLA.D01.HARV.05778","1","ok","single bole tree","Live",17.6,130,"noChange",16.6,,,,5.0,4.5,"Partially shaded",,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0003-2369-8379","ec670bd4-39b9-46f0-bcac-ec82fe862679",
"6ea27aba-2db6-4590-a49f-46ed9114abbc","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","23_400","NEON.PLA.D01.HARV.05753","1","ok","single bole tree","Live, physically damaged",21.7,135,"noChange",15.9,,,,5.5,4.2,"Partially shaded",,,,,,,,,,,,,,"Other Damage; Branch damage","0000-0003-1933-3182","0000-0003-2369-8379","3a551585-62d9-4fe0-b23c-cad4de60cddb",
"d14fdf9b-188c-4c5f-bfa9-35f3ca81847d","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","24_100","NEON.PLA.D01.HARV.04194","1","ok","single shrub","Live",1.2,130,"noChange",0.3,0.0,,,1.5,1.5,"Full shade","ellipsoid or sphere",1.3,10,,,,,,,,,,,"Decumbent growth.","0000-0003-1933-3182","0000-0003-2369-8379","f25f6aaa-7682-4521-8929-f4112b50b710",
"0a8c9f2b-e597-4610-8939-a9e4ea7819c2","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_400","NEON.PLA.D01.HARV.04150","1","ok","single bole tree","Live, insect damaged",21.6,130,"noChange",12.8,,,,8.0,7.1,"Mostly shaded",,,,,,,,,,,,,,"Hemlock woolly adelgid crown damage.","0000-0003-1933-3182","0000-0003-2369-8379","2ac5068a-2cf6-4ca6-a436-32c780eb56a6",
"1d5d2cc5-b1a5-4755-a70d-11d3c1b7e61e","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","48_100","NEON.PLA.D01.HARV.10205","1","ok","small tree","Live, insect damaged",5.0,130,"noChange",5.0,,,,4.0,3.2,"Full shade",,,,,,,,,,,,,,"Hemlock woolly adelgid crown damage.","0000-0003-1933-3182","0000-0003-2369-8379","e1bd1000-9fc0-410f-ad76-17535df80705",
"1ebc5186-b7c3-4c94-bf0b-7ffaf7356dd8","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","23_400","NEON.PLA.D01.HARV.05755A","2","ok","multi-bole tree","Live",29.5,130,"noChange",,,,,,,,,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0003-2369-8379","a85ed472-c83b-48ff-b325-8e9d54c23e0a",
"8d6b059a-7663-49b7-9976-924a1d9b5563","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","33_100","NEON.PLA.D01.HARV.10050","1","ok","small tree","Live",4.7,130,"noChange",5.3,,,,3.9,2.5,"Partially shaded",,,,,,,,,,,,,,"Hemlock woolly adelgid crown damage","0000-0003-1933-3182","0000-0003-2369-8379","a94dde01-3c76-41c7-a286-fa6e54488ec2",
"eb2c0332-2005-41bc-a7f0-99ab937e5cce","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_400","NEON.PLA.D01.HARV.04149","1","ok","multi-bole tree","Live",26.9,130,"noChange",22.1,,,,7.0,5.3,"Full sun",,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0003-2369-8379","15b0e4f8-5cb5-4022-bdee-a499fa68fcc1",
"376266c0-15f8-441a-b63a-9a4c5d1dacdc","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_400","NEON.PLA.D01.HARV.05719","1","ok","single bole tree","Live",49.9,130,"noChange",23.5,,,,9.5,7.3,"Full sun",,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0003-2369-8379","910e7e30-e5c8-4505-a44b-405bd9107ccf",
"d0e86753-1841-49e6-b753-8aba39cedf12","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","23_400","NEON.PLA.D01.HARV.05777","1","ok","single bole tree","Dead, broken bole",26.0,130,"noChange",15.9,,15.8,3.0,,,"Partially shaded",,,,,,,,,,,,,,"Dead; Unknown cause of death or break. Bark falling off","0000-0003-1933-3182","0000-0003-2369-8379","dcf785b0-26e2-419e-890e-a039aac3d9f0",
"28ce2efd-3289-476f-91f3-2a89b5606e33","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_100","NEON.PLA.D01.HARV.04437","1","ok","small tree","Live, insect damaged",1.1,130,"noChange",1.8,,,,1.6,1.1,"Full shade",,,,,,,,,,,,,,"Hemlock woolly adelgid crown damage.","0000-0003-1933-3182","0000-0003-2369-8379","887da6ae-28d4-4b79-8702-b2d0b8e598f3",
"c154ef8f-b90e-4409-8a33-5b8328e88621","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","23_400","NEON.PLA.D01.HARV.05765A","2","ok","multi-bole tree","Live",28.1,153,"noChange",,,,,,,,,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0003-2369-8379","09bf86d1-c77c-4384-9f50-96cd7fb34255",
"c57b96cf-d632-43bf-b668-5ffc93756a81","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","23_400","NEON.PLA.D01.HARV.05736","1","ok","single bole tree","Live",17.1,130,"noChange",10.4,,,,5.2,4.1,"Partially shaded",,,,,,,,,,,,,,"Live; Trace foliar damage","0000-0003-1933-3182","0000-0003-2369-8379","48d50a49-c782-480d-8b78-895bda484ae7",
"1f9e9bd5-db5e-4e1f-a8bc-661dd4560e97","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","48_100","NEON.PLA.D01.HARV.04171","1","ok","sapling","Standing dead",,,"noChange",1.4,,,,,,"Full shade",,2.2,10,,,,,,,,,,,"Death possibly caused by hemlock woolly adelgid.","0000-0003-1933-3182","0000-0003-2369-8379","21c33dbf-ea5d-48fc-b35e-422dc2864501",
"3f2b460f-6820-4ffa-addd-1001ca7949e7","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_400","NEON.PLA.D01.HARV.05707","1","ok","single bole tree","Live, insect damaged",12.5,130,"noChange",8.1,,,,5.1,4.3,"Mostly shaded",,,,,,,,,,,,,,"Hemlock woolly adelgid crown damage.","0000-0003-1933-3182","0000-0003-2369-8379","9fc5bb17-20b2-4bab-8c9d-9b32c7736449",
"0e5afd1e-d6db-451e-818e-73f46cc43b22","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","24_100","NEON.PLA.D01.HARV.04495","1","ok","small tree","Live",1.2,130,"noChange",2.0,,,,1.4,0.9,"Mostly shaded",,,,,,,,,,,,,,"Live; Trace insect damage","0000-0003-1933-3182","0000-0003-2369-8379","25d37f15-1a76-4e5c-95fd-19a2c198d8cf",
"9238be93-7696-46df-8a25-ac67a96f8a84","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_100","NEON.PLA.D01.HARV.04436","1","ok","small tree","Standing dead",2.5,130,"noChange",0.2,,,,0.7,0.4,"Full shade",,,,,,,,,,,,,,"Crushed by tree fall. Decumbent growth in life. Canopy partially covered by leaf litter. Death possibly caused by tree fall. Hemlock woolly adelgid crown damage.","0000-0003-1933-3182","0000-0003-2369-8379","f5dd6af9-7f72-48b1-b8a4-893b50cfe031",
"14d9e20c-0067-4670-811d-b605145fa921","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_400","NEON.PLA.D01.HARV.05733","1","ok","single bole tree","Live, insect damaged",18.7,130,"noChange",12.1,,,,5.9,4.5,"Mostly shaded",,,,,,,,,,,,,,"Hemlock woolly adelgid crown damage.","0000-0003-1933-3182","0000-0003-2369-8379","c66f49e2-7a83-42aa-9623-7973fe298690",
"f73b8f98-2a35-4713-9708-0ad64a94b9c1","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_400","NEON.PLA.D01.HARV.05735","1","ok","single bole tree","Live, physically damaged",15.1,135,"noChange",13.8,,,,4.2,2.6,"Mostly shaded",,,,,,,,,,,,,,"Unknown cause of scarring on bole.","0000-0003-1933-3182","0000-0003-2369-8379","4e219eb4-9619-47ec-9a3b-792ce25abe72",
"9a81adc1-3e1e-49bf-b5a2-788f3f130b4b","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_400","NEON.PLA.D01.HARV.05731","2","ok","multi-bole tree","Live, broken bole",14.3,130,"noChange",,,4.6,11.0,,,,,,,,,,,,,,,,,"Unknown cause of break.","0000-0003-1933-3182","0000-0003-2369-8379","10eb789a-1f89-4dd8-838a-390e3cb53b93",
"7f1233ef-03cf-42e6-b350-8b5d84c2bd4b","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_400","NEON.PLA.D01.HARV.05730","1","ok","single bole tree","Live, insect damaged",14.8,130,"noChange",11.6,,,,5.6,5.2,"Mostly shaded",,,,,,,,,,,,,,"Hemlock woolly adelgid crown damage.","0000-0003-1933-3182","0000-0003-2369-8379","6d456695-d7ae-4065-b924-20bccb56eed7",
"d82364a1-2b41-46bf-bd39-ffd2b4ca62b3","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","23_400","NEON.PLA.D01.HARV.05758","1","ok","multi-bole tree","Live, physically damaged",31.6,130,"noChange",22.1,,,,10.5,8.0,"Full sun",,,,,,,,,,,,,,"Scarring on bole; unknown cause","0000-0003-1933-3182","0000-0003-2369-8379","5cc59153-0cde-4eb2-9c7a-60405cf3be7c",
"20b5821f-aa77-4970-a038-8f1a8d7340f0","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_400","NEON.PLA.D01.HARV.05727","1","ok","single bole tree","Live, insect damaged",44.5,130,"noChange",15.3,,,,10.3,8.4,"Mostly shaded",,,,,,,,,,,,,,"Hemlock woolly adelgid crown damage.","0000-0003-1933-3182","0000-0003-2369-8379","c7816521-5fc4-4c8b-be52-43609f5866e5",
"043fb781-26d6-4779-9f87-1a82254eeb54","HARV_038.basePlot.vst","2022-08-10","vst_HARV_2022","D01","HARV","HARV_038","39_400","NEON.PLA.D01.HARV.05724","1","ok","single bole tree","Live",24.9,130,"noChange",19.9,,,,5.3,3.8,"Partially shaded",,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0003-2369-8379","70e039fe-7127-48d3-9527-afeaf0ea1a7b",
