uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"ebf5100e-474b-4438-a858-95f7d95a516a","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","39_25_1","NEON.PLA.D05.UNDE.08167","1","ok","small shrub","Live",,,"noChange",1.9,0.3,,,1.6,1.3,"Full shade","ellipsoid or sphere",1.2,10,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","44ba9c11-026d-4ee7-b14d-dea3480be10d",
"457984c5-133c-4aab-b3ef-698fdb85e09f","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","48_25_3","NEON.PLA.D05.UNDE.09092","1","ok","sapling","Live",,,"noChange",1.1,,,,,,"Full shade",,1.9,10,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","310f2d91-11ef-4e1f-a69d-7fd98588aa8c",
"dc0ee26f-e3ce-479e-924b-b6af275764a3","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","23_400","NEON.PLA.D05.UNDE.09584","1","ok","single bole tree","Dead, broken bole",11.1,130,"noChange",6.3,,6.3,9.0,,,"Full shade",,,,,,,,,,,,,,"Break diameter is a visual estimate","0009-0001-8017-5550","0009-0001-5387-6466","06691c64-aa66-475a-84c8-47e05d2877f2",
"f1f5e11e-badc-4cc2-a20f-0a000887b56e","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","39_400","NEON.PLA.D05.UNDE.09596B","3","ok","multi-bole tree","Live",12.3,130,"noChange",,,,,,,,,,,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","e490f850-cbef-4ca8-9dca-9c053f06eac0",
"745ac480-ce71-4b81-a4a7-4c4406f184f3","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","39_25_1","NEON.PLA.D05.UNDE.09001","1","ok","small shrub","Live",,,"noChange",1.6,0.6,,,1.1,1.0,"Full shade","ellipsoid or sphere",1.2,10,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","e4a86fd6-5eba-41eb-9327-c12685400702",
"6d483065-e24d-46a3-a91f-9025327f4bd9","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","23_400","NEON.PLA.D05.UNDE.08165B","3","ok","multi-bole tree","Live",5.6,130,"noChange",,,,,,,,,,,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","bc3fb935-a916-4742-a989-0589fafcca17",
"af28e4b4-d240-4fd5-adf3-0d312172e0ee","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","24_25_2","NEON.PLA.D05.UNDE.09819","1","ok","sapling","Live",,,"noChange",1.4,,,,,,"Full shade",,2.2,10,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","cb6ac2db-bdf1-4b53-869e-130c91ee2cfa",
"9c9b2d51-7ed0-412f-b4ba-c034a7417efe","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","48_25_3","NEON.PLA.D05.UNDE.09083","1","ok","small shrub","Live",,,"noChange",1.3,0.2,,,1.0,0.8,"Full shade","ellipsoid or sphere",1.4,10,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","f0d751fe-69e2-4ea9-8017-3b3ab7e57562",
"3d450ddb-e5bc-42eb-bc9b-720e4a004d18","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","23_400","NEON.PLA.D05.UNDE.09577","1","ok","single bole tree","Live",25.0,130,"noChange",24.8,,,,7.0,4.6,"Partially shaded",,,,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","4e9ddf2d-e144-4297-9be9-a9d98b0158bb",
"b06e461b-0fad-4e0e-8f24-59416e029a50","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","39_400","NEON.PLA.D05.UNDE.04396","1","ok","single bole tree","Live,  other damage",18.3,150,"noChange",12.2,,,,8.2,5.1,"Mostly shaded",,,,,,,,,,,,,,"Branch scar at 130cm; significant damage; burn marks; potentially lightning","0009-0001-8017-5550","0009-0001-5387-6466","0db34ea6-73cc-4233-a5eb-9c2597c93f9f",
"e870a412-bdb9-4482-84c4-63bf774643cc","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","33_25_4","NEON.PLA.D05.UNDE.02090","1","ok","small tree","Live, physically damaged",5.1,130,"noChange",6.3,,,,3.9,3.7,"Full shade",,,,,,,,,,,,,,"Scar up bole about 2 meters long","0009-0001-8017-5550","0009-0001-5387-6466","c65195bf-98d6-454e-8749-870c232f1ec8",
"6d4e423a-1b21-466d-bd01-ea8fa7361110","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","48_25_3","NEON.PLA.D05.UNDE.08801","1","ok","small shrub","Live",,,"noChange",1.2,0.3,,,1.3,1.0,"Full shade","ellipsoid or sphere",1.1,10,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","07631c1f-51ff-41be-a7ca-426f578a87d6",
"a577eb46-7b7b-4d04-9c35-fbba19a0aa11","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","39_25_1","NEON.PLA.D05.UNDE.03820","1","ok","small tree","Live",1.8,120,"noChange",2.2,,,,1.5,1.5,"Full shade",,,,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","e9a32084-6fa3-4df0-b8f9-4cfa40f5aec6",
"945216a0-5416-477a-975c-6fc2a5446c45","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","24_25_2","NEON.PLA.D05.UNDE.02016","1","ok","small tree","Dead, broken bole",2.5,130,"noChange",2.3,,2.3,1.4,,,"Full shade",,,,,,,,,,,,,,"Dead; Unknown cause of death","0009-0001-8017-5550","0009-0001-5387-6466","e33680fe-ee49-4dbf-9a8a-c332948f7800",
"6559a19a-b777-41f7-be10-12bcd5008168","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","39_400","NEON.PLA.D05.UNDE.09598","1","ok","single bole tree","Dead, broken bole",33.6,130,"noChange",9.3,,9.3,23.0,,,"Full shade",,,,,,,,,,,,,,"Ocular estimate of break diameter","0009-0001-8017-5550","0009-0001-5387-6466","33e4fab3-86a2-4f5a-be3b-a115275b7436",
"f695c77a-4087-423f-b815-725345cd5b0a","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","39_25_1","NEON.PLA.D05.UNDE.03821","1","ok","small tree","Live, disease damaged",5.7,150,"noChange",7.8,,,,4.3,2.8,"Full shade",,,,,,,,,,,,,,"Dead branch","0009-0001-8017-5550","0009-0001-5387-6466","777f918f-1009-43d8-81c1-4ae069f87b0b",
"f9c796be-b65a-4b6f-9779-713a4eeb9b5d","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","48_25_3","NEON.PLA.D05.UNDE.01570","1","ok","sapling","Live",,,"noChange",2.3,,,,,,"Full shade",,1.6,10,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","b0580f8b-c9ae-477a-bdb5-ae3be253d110",
"c3ef1756-feea-4711-ab44-d6c992f0a968","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","33_25_4","NEON.PLA.D05.UNDE.02014","1","ok","small tree","Live",6.3,130,"noChange",7.2,,,,4.1,3.2,"Full shade",,,,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","c4e77242-5f48-41fa-a7f5-a2687c3726fe",
"d94c8841-017d-444b-8aa8-c586e2e4da96","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","23_400","NEON.PLA.D05.UNDE.09580","1","ok","single bole tree","Live",17.4,130,"noChange",17.3,,,,6.4,6.0,"Mostly shaded",,,,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","d01d9eb7-a6c0-4093-9c22-28803a4287a4",
"929c546b-f192-4c45-8d72-6f721c2b60d2","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","48_25_3","NEON.PLA.D05.UNDE.01546","1","ok","sapling","Live",,,"noChange",0.9,,,,,,"Full shade",,1.5,10,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","4eb96ba0-bb2d-4f5d-bfb9-d70481af9050",
"bf966b17-5b4b-4009-8a0c-11baf47e1ef0","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","39_400","NEON.PLA.D05.UNDE.03470","1","ok","single bole tree","Live",19.5,130,"noChange",21.8,,,,4.8,3.1,"Partially shaded",,,,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","9c867c45-e53c-4bcb-bb8b-3faacd3ff4b6",
"ad61ec74-fbce-473f-89b9-763336e06d90","UNDE_043.basePlot.vst","2023-10-09","vst_UNDE_2023","D05","UNDE","UNDE_043","23_400","NEON.PLA.D05.UNDE.09587","1","ok","single bole tree","Live",21.4,130,"noChange",22.1,,,,7.4,6.9,"Partially shaded",,,,,,,,,,,,,,,"0009-0001-8017-5550","0009-0001-5387-6466","7bce027c-ec11-43ba-a5d9-ed587509b81b",
