uid,namedLocation,date,eventID,domainID,siteID,plotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,otherTagID,otherTagOrg,samplingProtocolVersion,identificationHistoryID,taxonID,scientificName,genus,family,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"bf1b86b6-8343-45b0-b9b0-db3b278331fc","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","33",2.0,298.1,,"NEON.PLA.D12.YELL.00014",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"b649fb52-8a41-4364-af14-4752a3ae6eb1","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","51",1.0,194.0,,"NEON.PLA.D12.YELL.00028",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"98dc09fa-bcb8-4d53-b831-da6557a87892","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","51",1.7,256.0,,"NEON.PLA.D12.YELL.00022",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"b814aa67-5a22-49d6-a492-1758a061d745","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","51",2.1,226.0,,"NEON.PLA.D12.YELL.00024",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"60a389b4-f5aa-420b-a5ba-ceb872f4d7d1","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","49",2.0,134.0,,"NEON.PLA.D12.YELL.00034",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"f17921d0-bcbe-4414-b5cf-4b12b1b5ee5f","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","51",1.0,192.0,,"NEON.PLA.D12.YELL.00016",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"408d9c90-6cc0-475c-aed8-d45750af7e6a","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","49",9.0,176.0,,"NEON.PLA.D12.YELL.00029",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"c7d116fc-81b6-4f68-bed0-ed28fdd61632","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","51",0.8,264.0,,"NEON.PLA.D12.YELL.00018",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"6fd69630-c4aa-43e8-bafe-1bfd1a1f4bac","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","49",8.7,178.0,,"NEON.PLA.D12.YELL.00030",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"7fd12fca-7a21-4f20-8766-5a2571ae6e37","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","51",1.3,212.0,,"NEON.PLA.D12.YELL.00027",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"28b10f8a-019f-45c1-9fac-e9bd66c3cdf2","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","51",1.7,267.0,,"NEON.PLA.D12.YELL.00021",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"d8c4e31c-1dba-4706-b765-d09c848694c5","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","51",1.5,206.0,,"NEON.PLA.D12.YELL.00026",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"21b0c90a-c52c-4797-9f06-5892556c8e8c","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","51",0.7,203.0,,"NEON.PLA.D12.YELL.00017",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"cbc18256-7edd-495e-97f5-6f0520a0a4ba","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","49",1.4,168.0,,"NEON.PLA.D12.YELL.00033",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
"2c1de374-d066-4597-b4e1-47427172d851","YELL_002.basePlot.vst","2018-05-14","vst_YELL_2018","D12","YELL","YELL_002","51",1.4,264.0,,"NEON.PLA.D12.YELL.00019",,,,,"NEON.DOC.000987vG",,"ARTR2","Artemisia tridentata Nutt.","Artemisia","Asteraceae","species",,,,,,"dweller@Battelleecology.org","abingenheimer@battelleecology.org",
