uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"d81eb1c2-e265-4740-8c52-4ad09ebda2a4","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","31_25_4","NEON.PLA.D12.YELL.01982",,"ok","sapling","Live",,,,1.0,,,,,,,,4.5,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","024cbd31-c65c-459a-944e-42921d1a6746",
"64a7e62c-b97f-417a-85f9-4da7cd6a4ee2","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_25_1","NEON.PLA.D12.YELL.01975","1","ok","small shrub","Live",,,,0.6,0.1,,,0.6,0.5,,"ellipsoid or sphere",1.8,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","7b8fc812-eb0d-4e50-a1ac-fb518c25adef",
"b7f7981d-ff69-405c-ac99-6fe0a6ddeb0f","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","31_25_4","NEON.PLA.D12.YELL.01979",,"ok","small shrub","Live",,,,0.6,0.2,,,0.8,0.6,,"ellipsoid or sphere",1.2,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","f4ab8b45-24db-40fc-abf4-1dfca67ae3e3",
"0a573228-cb5f-4b0c-919b-00247786cff7","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","23_25_unknown","NEON.PLA.D12.YELL.01964",,"ok","small shrub","Live",,,,1.0,,,,0.6,0.5,,"inverted cone",1.0,10,0.10,0.10,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","e349f5a2-876e-41df-8fbd-cc6434a3df9c",
"cf07845e-3f0a-4c6d-b047-eed37410090d","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","31_25_4","NEON.PLA.D12.YELL.01983",,"ok","sapling","Live",,,,0.8,,,,,,,,2.3,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","ec2d3794-b94b-43b5-b366-ca59d893b5b1",
"7a32af14-b19f-4494-a049-a7d1ab4ffc1b","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","31_25_4","NEON.PLA.D12.YELL.01981",,"ok","sapling","Live",,,,0.9,,,,,,,,2.3,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","a56fbc2e-131c-4b0a-a246-c4c89893ed6a",
"4c7198cf-a5c3-4e14-aefb-d925d00bb9cc","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","23_400","NEON.PLA.D12.YELL.01961",,"ok","single bole tree","Live",28.5,130,,12.0,,,,,,,,,,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","6fc667e4-0b4b-49c4-9889-a16c13bae0b4",
"6c5d870f-430a-4684-b1d2-841f93e18ddf","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_25_unknown","NEON.PLA.D12.YELL.01971",,"ok","small shrub","Live",,,,0.8,0.0,,,1.4,1.0,,"ellipsoid or sphere",2.0,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","75b48213-7708-4592-9409-7c5b5a0993c6",
"c989b914-99d1-443e-a0e1-1d582999fc5a","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_25_1","NEON.PLA.D12.YELL.01973",,"ok","sapling","Live",,,,0.8,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","6a3f8a9f-6596-4ab1-9214-2cd6247f0c2f",
"9cf1eaf8-7971-4769-a16a-c452d2b7ee04","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_400","NEON.PLA.D12.YELL.01968",,"ok","single bole tree","Live",23.4,130,,8.5,,,,,,,,,,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","b2c85238-a0a6-4a57-94af-222b53ae07ec",
