uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"4016f330-baa5-4151-87e1-f0d37c30327a","UNDE_044.basePlot.vst","2020-10-01",,"D05","UNDE","UNDE_044","tower","mixedForest",46.231744,-89.532640,"WGS84",20.3,304714.81,5122914.20,"16N",507.4,0.4,"OK","vst_UNDE_2020","towerSubset","allGrowthForms","21_400|39_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected","noneSelected","noneSelected",800,100,800,800,800,,,,
"c3a6e38c-7447-456b-b381-e4c75a750ea8","UNDE_002.basePlot.vst","2020-10-05",,"D05","UNDE","UNDE_002","distributed","woodyWetlands",46.243102,-89.544805,"WGS84",20.1,303817.33,5124206.18,"16N",504.4,0.2,"OK","vst_UNDE_2020","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",400,80,400,400,400,,,,
"4c00b44b-d79d-4a85-ae9e-4c708a5aa9bb","UNDE_001.basePlot.vst","2020-10-06",,"D05","UNDE","UNDE_001","distributed","deciduousForest",46.234625,-89.560771,"WGS84",20.1,302556.10,5123303.96,"16N",523.7,0.2,"OK","vst_UNDE_2020","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected","noneSelected","noneSelected",400,200,400,400,400,,,,
"e6212843-2a96-4de2-9a1f-ed1d037fc64a","UNDE_003.basePlot.vst","2020-10-08",,"D05","UNDE","UNDE_003","distributed","woodyWetlands",46.256247,-89.536090,"WGS84",20.2,304535.89,5125645.16,"16N",504.8,0.3,"OK","vst_UNDE_2020","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",400,80,400,400,400,,,,
"a26e7916-25cf-4257-824c-8afbc6d76644","UNDE_010.basePlot.vst","2020-10-13",,"D05","UNDE","UNDE_010","distributed","woodyWetlands",46.237778,-89.541857,"WGS84",20.3,304025.63,5123607.36,"16N",512.8,0.4,"OK","vst_UNDE_2020","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",400,80,400,400,400,,,,
"5867546a-040d-458a-a475-780028b9a3d0","UNDE_006.basePlot.vst","2020-10-14",,"D05","UNDE","UNDE_006","distributed","deciduousForest",46.254613,-89.512657,"WGS84",20.2,306336.14,5125406.08,"16N",530.0,0.2,"OK","vst_UNDE_2020","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",400,80,400,400,400,,,,
"6feeb7d7-a341-4d6e-b458-a72550b7b626","UNDE_011.basePlot.vst","2020-10-14",,"D05","UNDE","UNDE_011","distributed","woodyWetlands",46.215104,-89.505026,"WGS84",20.3,306785.59,5120997.74,"16N",503.1,0.3,"OK","vst_UNDE_2020","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",400,80,400,400,400,,,,
"a94d633b-3194-423e-8254-d2af15133e1e","UNDE_007.basePlot.vst","2020-10-15",,"D05","UNDE","UNDE_007","distributed","deciduousForest",46.248716,-89.536150,"WGS84",20.2,304504.50,5124808.56,"16N",516.4,0.2,"OK","vst_UNDE_2020","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",400,80,400,400,400,,,,
"ec8c9010-e30f-4904-b8ce-974073e689a5","UNDE_012.basePlot.vst","2020-10-20",,"D05","UNDE","UNDE_012","distributed","woodyWetlands",46.236979,-89.504463,"WGS84",20.1,306905.78,5123426.83,"16N",515.0,0.1,"OK","vst_UNDE_2020","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",400,80,400,400,400,,,,
"8fa793fc-809a-443b-8ff7-ced03e9ab166","UNDE_008.basePlot.vst","2020-10-26",,"D05","UNDE","UNDE_008","distributed","mixedForest",46.256193,-89.515052,"WGS84",20.2,306157.12,5125587.49,"16N",514.8,0.4,"OK","vst_UNDE_2020","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",400,80,400,400,400,,,,
