uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"1ef985aa-c5bb-42e5-8893-49f0e53a9118","YELL_012.basePlot.vst","2019-08-13",,"D12","YELL","YELL_012","distributed","evergreenForest",44.944613,-110.433659,"WGS84",20.3,544679.32,4976953.63,"12N",1901.5,0.3,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",400,80,400,,400,,,,
"8ddb2873-6296-486d-8be0-f482bc1f1886","YELL_020.basePlot.vst","2019-08-14",,"D12","YELL","YELL_020","distributed","evergreenForest",44.943866,-110.648504,"WGS84",20.1,527730.30,4976774.74,"12N",2111.2,0.1,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",400,200,400,,400,,,,
"7b667004-5d25-413c-b58e-f4574c421451","YELL_006.basePlot.vst","2019-08-15",,"D12","YELL","YELL_006","distributed","shrubScrub",44.971091,-110.562787,"WGS84",20.0,534476.40,4979831.95,"12N",2049.7,0.1,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"3","noneSelected",,"noneSelected",400,24,400,,400,,,,
"84fcf444-df20-4faa-8cf0-b783737f3fbe","YELL_004.basePlot.vst","2019-08-19",,"D12","YELL","YELL_004","distributed","shrubScrub",44.962834,-110.593234,"WGS84",20.1,532080.10,4978902.21,"12N",1991.5,0.1,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","N","Y","N","N","N","N","N","N","N",,"3","noneSelected",,"noneSelected",400,24,400,,400,,,,
"796222d1-0250-4bcb-8716-24bee44935bd","YELL_001.basePlot.vst","2019-08-19",,"D12","YELL","YELL_001","distributed","shrubScrub",44.917485,-110.410361,"WGS84",20.1,546539.23,4973953.19,"12N",1902.9,0.1,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"noneSelected","noneSelected",,"noneSelected",400,400,400,,400,,,,
"b418b0dd-8ff5-4ed1-8388-24b329ea9cec","YELL_010.basePlot.vst","2019-08-20",,"D12","YELL","YELL_010","distributed","shrubScrub",44.916045,-110.395165,"WGS84",20.1,547739.82,4973802.05,"12N",1912.3,0.1,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"3","noneSelected",,"noneSelected",400,24,400,,400,,,,
"a051a977-c2e8-4378-a0bd-32ea603358b0","YELL_011.basePlot.vst","2019-08-21",,"D12","YELL","YELL_011","distributed","shrubScrub",44.957159,-110.591380,"WGS84",20.1,532229.50,4978272.53,"12N",2017.3,0.1,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","N","Y","N","N","N","N","N","N","N",,"3","noneSelected",,"noneSelected",400,24,400,,400,,,,
"4a6c0b82-7f34-412b-bb2d-59afe9055db2","YELL_013.basePlot.vst","2019-08-22",,"D12","YELL","YELL_013","distributed","shrubScrub",44.972918,-110.542179,"WGS84",20.1,536100.29,4980043.88,"12N",2031.5,0.1,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","N","Y","N","N","N","N","N","N","N",,"3","noneSelected",,"noneSelected",400,24,400,,400,,,,
"a3afb2d1-59e0-4990-a023-8899c8095004","YELL_002.basePlot.vst","2019-08-22",,"D12","YELL","YELL_002","distributed","shrubScrub",44.932467,-110.634896,"WGS84",20.0,528809.56,4975513.21,"12N",2125.1,0.0,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","N","Y","N","N","N","N","N","N","N",,"3","noneSelected",,"noneSelected",400,24,400,,400,,,,
"f76d9761-fe73-4e84-b6f1-9830b05c5e69","YELL_007.basePlot.vst","2019-08-26",,"D12","YELL","YELL_007","distributed","shrubScrub",44.917831,-110.428945,"WGS84",20.2,545072.16,4973981.13,"12N",2084.2,0.3,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"3","noneSelected",,"noneSelected",400,24,400,,400,,,,
"b67e8ea6-c1c0-4cb5-8e0a-1490f19da881","YELL_003.basePlot.vst","2019-08-26",,"D12","YELL","YELL_003","distributed","shrubScrub",44.954777,-110.533202,"WGS84",20.1,536819.75,4978032.69,"12N",2120.8,0.1,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","N","Y","N","N","N","N","N","N","N",,"3","noneSelected",,"noneSelected",400,24,400,,400,,,,
"b17eb946-8a25-4130-868f-94af449421bb","YELL_005.basePlot.vst","2019-08-26",,"D12","YELL","YELL_005","distributed","shrubScrub",44.948383,-110.631377,"WGS84",20.1,529079.21,4977282.52,"12N",2112.0,0.1,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","N","Y","N","N","N","N","N","N","N",,"1","noneSelected",,"noneSelected",400,8,400,,400,,,,
"13711e0d-a1ae-4c76-92c4-bf98ad71a1f3","YELL_016.basePlot.vst","2019-08-26",,"D12","YELL","YELL_016","distributed","grasslandHerbaceous",44.965771,-110.583711,"WGS84",20.0,532829.47,4979232.29,"12N",2046.8,0.0,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","N","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",400,200,400,,400,,,,
"ed104db2-9ca7-48d9-91e7-11a43fb98b29","YELL_014.basePlot.vst","2019-08-27",,"D12","YELL","YELL_014","distributed","shrubScrub",44.966980,-110.618703,"WGS84",20.1,530069.29,4979353.02,"12N",2240.7,0.1,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","N","Y","N","N","N","N","N","N","N",,"3","noneSelected",,"noneSelected",400,24,400,,400,,,,
"a76387bc-772e-4391-9f08-5b7b492172d1","YELL_008.basePlot.vst","2019-08-27",,"D12","YELL","YELL_008","distributed","shrubScrub",44.959683,-110.613808,"WGS84",20.1,530459.18,4978544.24,"12N",2200.2,0.2,,"vst_YELL_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","N","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",400,200,400,,400,,,,
