uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"3f124122-56d9-4f41-a552-bdb9c3cc5558","UNDE_049.basePlot.vst","2022-10-04",,"D05","UNDE","UNDE_049","tower","mixedForest",46.230581,-89.536457,"WGS84",20.2,304416.37,5122794.39,"16N",509.9,0.3,"OK","vst_UNDE_2022","allTowerPlots","allGrowthForms","21_400|39_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected","10","10",800,100,800,800,40,,,,
"d9b11d51-c7d1-49ed-b29d-6b16207a3646","UNDE_054.basePlot.vst","2022-10-04",,"D05","UNDE","UNDE_054","tower","deciduousForest",46.231644,-89.537275,"WGS84",20.3,304357.07,5122914.51,"16N",520.7,0.4,"OK","vst_UNDE_2022","allTowerPlots","allGrowthForms","21_400|23_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"noneSelected","noneSelected","25","25",800,40,800,800,100,,,,
"d2f1f7f3-ecfc-41dd-9ea7-008050a1c3fb","UNDE_056.basePlot.vst","2022-10-10",,"D05","UNDE","UNDE_056","tower","deciduousForest",46.232064,-89.543158,"WGS84",20.1,303904.96,5122975.71,"16N",528.5,0.2,"OK","vst_UNDE_2022","allTowerPlots","allGrowthForms","23_400|41_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected","100","100",800,100,800,800,400,,,,
"c0a649e1-9323-4404-87d0-d0c7d47f0bdb","UNDE_058.basePlot.vst","2022-10-11",,"D05","UNDE","UNDE_058","tower","deciduousForest",46.231091,-89.538838,"WGS84",20.2,304234.59,5122856.93,"16N",524.4,0.3,"OK","vst_UNDE_2022","allTowerPlots","allGrowthForms","23_400|41_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected","25","25",800,100,800,800,100,,,,
"ccfe203d-39b9-4649-bc03-94eb7d6efe7d","UNDE_078.basePlot.vst","2022-10-13",,"D05","UNDE","UNDE_078","tower","mixedForest",46.234214,-89.531597,"WGS84",20.1,304803.99,5123186.06,"16N",506.7,0.2,"OK","vst_UNDE_2022","allTowerPlots","allGrowthForms","21_400|39_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","100","100",800,40,800,800,400,,,,
"dff01de6-568c-4d7a-9b56-fee84cd1a082","UNDE_052.basePlot.vst","2022-10-18",,"D05","UNDE","UNDE_052","tower","mixedForest",46.233161,-89.542432,"WGS84",20.2,303964.84,5123095.80,"16N",520.3,0.3,"OK","vst_UNDE_2022","allTowerPlots","allGrowthForms","21_400|39_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected","10","10",800,100,800,800,40,,,,
"2e7d5251-7bc6-4c68-8373-d6bf4713f9f5","UNDE_055.basePlot.vst","2022-10-24",,"D05","UNDE","UNDE_055","tower","mixedForest",46.229528,-89.536012,"WGS84",20.2,304446.94,5122676.30,"16N",509.5,0.3,"logistical","vst_UNDE_2022","allTowerPlots",,"23_400|39_400",,,,,,,,,,,,,,,,,,,,,,,,,,,
"a4b40d03-1f25-4f03-94fe-c0057ba78384","UNDE_061.basePlot.vst","2022-10-24",,"D05","UNDE","UNDE_061","tower","deciduousForest",46.233351,-89.535041,"WGS84",20.2,304535.39,5123098.66,"16N",508.4,0.2,"logistical","vst_UNDE_2022","allTowerPlots",,"23_400|41_400",,,,,,,,,,,,,,,,,,,,,,,,,,,
"691348c9-026b-43e9-917a-090179692557","UNDE_059.basePlot.vst","2022-10-24",,"D05","UNDE","UNDE_059","tower","woodyWetlands",46.230668,-89.532550,"WGS84",20.2,304717.93,5122794.42,"16N",509.3,0.3,"logistical","vst_UNDE_2022","allTowerPlots",,"23_400|39_400",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71702795-ecc0-4d2a-b4dd-04a321bd935f","UNDE_060.basePlot.vst","2022-10-24",,"D05","UNDE","UNDE_060","tower","deciduousForest",46.231420,-89.535710,"WGS84",20.2,304476.95,5122885.76,"16N",507.9,0.3,"OK","vst_UNDE_2022","allTowerPlots","allGrowthForms","21_400|23_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","25","25",800,40,800,800,100,"Changed nested subplot area to 25 square meters in order to sample an adequate amount of small woody individuals",,,
