uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"80146178-3e92-4dc8-9f07-569c1553a220","YELL_058.basePlot.vst","2019-09-09",,"D12","YELL","YELL_058","tower","shrubScrub",44.954246,-110.535871,"WGS84",20.1,536609.57,4977972.50,"12N",2130.0,0.1,,"vst_YELL_2019",,,"21_400|41_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",800,40,,,,,,,
"29da0c06-e32f-4cce-936d-bf377431f5d3","YELL_044.basePlot.vst","2019-09-10",,"D12","YELL","YELL_044","tower","evergreenForest",44.953426,-110.534358,"WGS84",20.1,536729.43,4977882.09,"12N",2139.9,0.1,,"vst_YELL_2019",,,"23_400|39_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",800,40,800,,800,,,,
"1ba027b4-dcf9-44f0-859b-8325d0f4c62a","YELL_052.basePlot.vst","2019-09-11",,"D12","YELL","YELL_052","tower","evergreenForest",44.954799,-110.539286,"WGS84",20.2,536339.85,4978032.39,"12N",2125.7,0.3,,"vst_YELL_2019",,,"21_400|41_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,,,
"f98d146a-5071-4569-9e1e-874e78fba1a6","YELL_055.basePlot.vst","2019-09-11",,"D12","YELL","YELL_055","tower","evergreenForest",44.954526,-110.537775,"WGS84",20.1,536459.21,4978002.74,"12N",2127.6,0.1,,"vst_YELL_2019",,,"39_400|41_400","NEON.DOC.000987vH","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,800,800,,800,,,,
"5a79404a-73f2-4bf0-a756-d336f791a98d","YELL_062.basePlot.vst","2019-09-12",,"D12","YELL","YELL_062","tower","evergreenForest",44.952359,-110.537020,"WGS84",20.1,536520.13,4977762.36,"12N",2140.8,0.1,,"vst_YELL_2019",,,"21_400|23_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,,,
"91b2b2e0-6b0b-41bd-afa3-7c8dac665d64","YELL_056.basePlot.vst","2019-09-16",,"D12","YELL","YELL_056","tower","evergreenForest",44.951268,-110.534349,"WGS84",20.1,536731.52,4977642.37,"12N",2152.9,0.2,,"vst_YELL_2019",,,"21_400|39_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",800,40,800,,800,,,,
"2f641571-55e1-45a4-a78d-96d8428fc858","YELL_048.basePlot.vst","2019-09-16",,"D12","YELL","YELL_048","tower","evergreenForest",44.951273,-110.536649,"WGS84",20.1,536550.09,4977641.89,"12N",2149.0,0.1,,"vst_YELL_2019",,,"21_400|23_400","NEON.DOC.000987vH","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,800,800,,800,,,,
"319379ef-dcd5-461d-bcc0-9298dc590630","YELL_060.basePlot.vst","2019-09-17",,"D12","YELL","YELL_060","tower","evergreenForest",44.954011,-110.543091,"WGS84",20.1,536040.22,4977943.16,"12N",2127.3,0.2,,"vst_YELL_2019",,,"21_400|41_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,,,
"1b768ad4-85ea-484e-bade-b1630770de13","YELL_051.basePlot.vst","2019-09-17",,"D12","YELL","YELL_051","tower","shrubScrub",44.954277,-110.541571,"WGS84",20.1,536159.94,4977973.38,"12N",2119.7,0.1,,"vst_YELL_2019",,,"21_400|23_400","NEON.DOC.000987vH","Y","Y","N","N","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,,,
"0bdc6f4d-ae94-44ce-81df-17a489b5f211","YELL_053.basePlot.vst","2019-09-18",,"D12","YELL","YELL_053","tower","grasslandHerbaceous",44.949928,-110.537804,"WGS84",20.1,536459.83,4977491.96,"12N",2145.9,0.1,,"vst_YELL_2019",,,"21_400|23_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,,,,,,,
