uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"ba6b63ba-cec9-4e77-8516-d68cb664739a","HARV_035.basePlot.vst","2020-08-05",,"D01","HARV","HARV_035","tower","evergreenForest",42.539966,-72.178072,"WGS84",20.2,731727.38,4713590.70,"18N",365.8,0.3,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","21_400|23_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"8d5c6ce4-6a1b-4a00-b2f0-6c3a97e76d19","HARV_045.basePlot.vst","2020-08-05",,"D01","HARV","HARV_045","tower","deciduousForest",42.542078,-72.171300,"WGS84",20.1,732275.68,4713843.79,"18N",370.0,0.1,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","21_400|23_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"f5acf862-4c53-4f4b-b76b-dcf2378d74e7","HARV_046.basePlot.vst","2020-08-05",,"D01","HARV","HARV_046","tower","mixedForest",42.537915,-72.180759,"WGS84",20.3,731514.30,4713355.58,"18N",361.4,0.3,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","21_400|41_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",800,40,800,800,800,,,,
"2eae4671-02ac-41ca-86db-7a841fcefea7","HARV_037.basePlot.vst","2020-08-05",,"D01","HARV","HARV_037","tower","evergreenForest",42.537308,-72.179312,"WGS84",20.1,731635.38,4713292.13,"18N",361.9,0.2,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","23_400|41_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",800,40,800,800,800,,,,
"639ac4e1-8cea-4eb5-82a6-a7daf5b33a0c","HARV_052.basePlot.vst","2020-08-05",,"D01","HARV","HARV_052","tower","mixedForest",42.542130,-72.176577,"WGS84",20.3,731842.14,4713835.11,"18N",358.9,0.3,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","23_400|41_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"noneSelected","noneSelected","noneSelected","noneSelected",800,800,800,800,800,,,,
"006dc4a2-5fd0-41bc-ac75-d3828918c23a","HARV_041.basePlot.vst","2020-08-05",,"D01","HARV","HARV_041","tower","evergreenForest",42.536795,-72.180797,"WGS84",20.1,731515.32,4713231.10,"18N",361.6,0.2,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","23_400|39_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"642e8d87-cf80-4057-af14-150ae71153f8","HARV_042.basePlot.vst","2020-08-05",,"D01","HARV","HARV_042","tower","mixedForest",42.534167,-72.176562,"WGS84",20.1,731872.86,4712950.85,"18N",371.0,0.1,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","39_400|41_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",800,40,800,800,800,,,,
"c03c484d-330c-497c-a2ab-3eae6145cb60","HARV_047.basePlot.vst","2020-08-05",,"D01","HARV","HARV_047","tower","deciduousForest",42.536689,-72.175706,"WGS84",20.2,731933.82,4713233.26,"18N",367.3,0.4,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","21_400|41_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected","noneSelected","noneSelected",800,100,800,800,800,,,,
"8ab04156-bc76-4154-87d0-44c6fd39cc81","HARV_048.basePlot.vst","2020-08-05",,"D01","HARV","HARV_048","tower","mixedForest",42.541304,-72.178017,"WGS84",20.2,731726.94,4713739.43,"18N",360.7,0.3,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","23_400|39_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"d04d4b98-373d-44df-a499-c1da2f44d1fa","HARV_036.basePlot.vst","2020-08-05",,"D01","HARV","HARV_036","tower","deciduousForest",42.542123,-72.173119,"WGS84",20.1,732126.13,4713843.80,"18N",368.2,0.2,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","21_400|23_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected","noneSelected","noneSelected",800,100,800,800,800,,,,
"b3922ef7-d659-44e9-80de-2ca5f92025bd","HARV_050.basePlot.vst","2020-08-07",,"D01","HARV","HARV_050","tower","mixedForest",42.536270,-72.179357,"WGS84",20.2,731635.52,4713176.74,"18N",368.4,0.4,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","21_400|41_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"5949cfc3-bcd8-4163-b4ac-55b1c63bae55","HARV_044.basePlot.vst","2020-08-07",,"D01","HARV","HARV_044","tower","deciduousForest",42.535376,-72.176486,"WGS84",20.1,731874.62,4713085.32,"18N",365.8,0.1,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","21_400|41_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected","noneSelected","noneSelected",800,100,800,800,800,,,,
"0d6b2b4b-b8c7-4b6a-a615-1f0502219c52","HARV_049.basePlot.vst","2020-08-07",,"D01","HARV","HARV_049","tower","mixedForest",42.535171,-72.179779,"WGS84",20.3,731604.93,4713053.54,"18N",370.0,0.3,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","23_400|41_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"beab7384-5736-41d7-8c35-73427e475ef6","HARV_051.basePlot.vst","2020-08-07",,"D01","HARV","HARV_051","tower","mixedForest",42.534078,-72.179146,"WGS84",20.3,731660.96,4712933.89,"18N",370.0,0.4,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","23_400|39_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"c05d99f2-f7b9-44af-968a-a5fbeb0cd625","HARV_043.basePlot.vst","2020-08-07",,"D01","HARV","HARV_043","tower","evergreenForest",42.541027,-72.176583,"WGS84",20.1,731845.73,4713712.60,"18N",354.4,0.2,"OK","vst_HARV_2020","allTowerPlots","allGrowthForms","21_400|39_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
