uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"895857d2-e939-4b14-b4b7-f53bd58afa7d","HARV_033.basePlot.vst","2023-08-07",,"D01","HARV","HARV_033","tower","deciduousForest",42.538302,-72.175607,"WGS84",20.2,731935.97,4713412.66,"18N",358.8,0.2,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","21_400|23_400","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","100","noneSelected","100","noneSelected",800,400,400,,400,,,,
"3c1d9d2d-979f-4b70-a65a-d0bfefc9b3aa","HARV_038.basePlot.vst","2023-08-07",,"D01","HARV","HARV_038","tower","mixedForest",42.537334,-72.177877,"WGS84",20.2,731753.13,4713298.95,"18N",367.4,0.3,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","23_400|39_400","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","100","noneSelected","10","noneSelected",400,400,400,,400,,,,
"44a92a8a-0d7a-431b-a3aa-dae2705862c9","HARV_034.basePlot.vst","2023-08-08",,"D01","HARV","HARV_034","tower","evergreenForest",42.535686,-72.177968,"WGS84",20.3,731751.76,4713115.68,"18N",372.1,0.4,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","23_400|39_400","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","25","noneSelected","100","noneSelected",800,100,800,,800,,,,
"3926e8eb-fe87-4bd6-acf9-053fc68239fc","HARV_014.basePlot.vst","2023-08-09",,"D01","HARV","HARV_014","distributed","mixedForest",42.471449,-72.265709,"WGS84",20.1,724775.96,4705745.78,"18N",199.4,0.2,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","10","noneSelected","noneSelected","noneSelected",400,80,400,,400,"Woody stems measured after senescence.",,,
"46ad548a-aa4a-4a96-b8b6-840295674bb7","HARV_006.basePlot.vst","2023-08-09",,"D01","HARV","HARV_006","distributed","deciduousForest",42.403087,-72.253720,"WGS84",20.1,726007.33,4698186.10,"18N",188.8,0.1,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","10","noneSelected","noneSelected","noneSelected",400,400,400,,400,,,,
"9d62a903-0731-4e08-b213-7eed117d7a05","HARV_002.basePlot.vst","2023-08-09",,"D01","HARV","HARV_002","distributed","deciduousForest",42.478565,-72.259572,"WGS84",20.1,725254.96,4706552.29,"18N",193.6,0.1,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","10","noneSelected","noneSelected","noneSelected",400,80,400,,400,,,,
"15f6ba7d-962d-4696-85bf-0b155474e2db","HARV_010.basePlot.vst","2023-08-09",,"D01","HARV","HARV_010","distributed","mixedForest",42.424723,-72.254599,"WGS84",20.1,725857.27,4700586.41,"18N",206.9,0.1,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","10","noneSelected","noneSelected","noneSelected",400,80,400,,400,,,,
"e69e3ba3-b021-44c0-abba-5a619a8509b7","HARV_021.basePlot.vst","2023-08-09",,"D01","HARV","HARV_021","distributed","evergreenForest",42.452430,-72.250472,"WGS84",20.1,726097.10,4703674.24,"18N",175.1,0.1,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vM","Y","Y","N","Present - sampled","Present - sampled","N","N","N","N","N","N","N","N","3","noneSelected","noneSelected","noneSelected",400,24,400,400,400,,,,
"133f68ca-0542-4062-9763-6deb817104fd","HARV_011.basePlot.vst","2023-08-09",,"D01","HARV","HARV_011","distributed","deciduousForest",42.455924,-72.238278,"WGS84",20.3,727087.27,4704094.82,"18N",231.5,0.4,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","10","noneSelected","noneSelected","noneSelected",400,80,400,,400,"Woody stems measured after senescence.",,,
"6dc93a28-b7bd-4c04-8162-fcc4a1bea8a9","HARV_040.basePlot.vst","2023-08-09",,"D01","HARV","HARV_040","tower","mixedForest",42.539918,-72.175931,"WGS84",20.1,731903.38,4713591.23,"18N",342.8,0.1,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","23_400|41_400","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","3","noneSelected","1","noneSelected",800,4,800,,800,,,,
